ICAO,NOTAM No,Q Code,From,To,Schedule,Text,Lower Limit,Upper Limit,Created Time,Farsi
OIIX,A4458/24,OIIX/QAFXX/E/000/999/,2411110711,2502092030 EST,,ALL TRAFFIC ENTERING TEHRAN FIR FROM KABUL FIR SHALL CONTACT TEHRAN ACC NOT LESS THAN 5 MINUTES PRIOR TO ENTERING THE TEHRAN FIR AS FOLLOWS: UL333 SOKAM 120.700 MHZ N636 PAMTU 120.700 MHZ A453 GADER 123.900 MHZ Z627 RANRU 123.900 MHZ ANY FLIGHT INTENDING TO ENTER KABUL FIR FROM TEHRAN FIR AT THEIR OWN RISK WILL BE PROVIDED ATS ONLY UNTIL THE TEHRAN/KABUL FIR BOUNDARY. CREATED: 11 Nov 2024 07:14:00 SOURCE: OIIIYNYX,,,11 Nov 2024 07:14:00,
OIIX,A4374/24,OIIX/QAFXX/E/000/999/,2411031515,2412290230,1430-0230,THE FLW TEMPO TOS WI TEHRAN OIIX FIR AVBL FOR FLT FM YEREVAN UDDD FIR TO UNITED ARAB EMIRATES OMAE FIR: - MAGRI B121 RST DVOR/DME L333 LABET Y8 SRJ VOR/DME L430 TAVNO M324 PATAT. CREATED: 03 Nov 2024 15:17:00 SOURCE: OIIIYNYX,,,03 Nov 2024 15:17:00,
OIIX,A4373/24,OIIX/QAFXX/E/000/999/,2411031513,2412290230,1430-0230,THE FLW TEMPO TOS WI TEHRAN OIIX FIR AVBL FOR FLT FM UNITED ARAB EMIRATES OMAE FIR TO YEREVAN UDDD FIR: - GABKO M318 GETIS Y9 GIBAB DCT DNZ DVOR/DME P567/N319 RIGAN N636 MAGRI. CREATED: 03 Nov 2024 15:15:00 SOURCE: OIIIYNYX,,,03 Nov 2024 15:15:00,
OIIX,A4372/24,OIIX/QAFXX/E/000/999/,2411031510,2412290230,1430-0230,THE FLW TEMPO TOS WI TEHRAN OIIX FIR AVBL FOR FLT FM UNITED ARAB EMIRATES OMAE FIR TO ANKARA LTAA FIR: - GABKO M318 GETIS Y9 GIBAB DCT DNZ DVOR/DME P567/N319 DASEL Z720 RST DVOR/DME L333 DASIS. CREATED: 03 Nov 2024 15:13:00 SOURCE: OIIIYNYX,,,03 Nov 2024 15:13:00,
OIIX,A4371/24,OIIX/QAFXX/E/000/999/,2411031508,2412290230,1430-0230,"THE FLW TEMPO TOS WI TEHRAN OIIX FIR AVBL FOR FLT FM UNITED ARAB EMIRATES OMAE FIR TO BAKU UBBA FIR: - GABKO M318 GETIS Y9 GIBAB DCT DNZ DVOR/DME P567/N319 ULDUS, - GABKO M318 GETIS Y9 GIBAB DCT DNZ DVOR/DME P567/N319 DASEL Z720 RST DVOR/DME L333 TBZ DVOR/DME R661 DULAV. CREATED: 03 Nov 2024 15:10:00 SOURCE: OIIIYNYX",,,03 Nov 2024 15:10:00,
OIIX,A4370/24,OIIX/QAFXX/E/000/999/,2411031505,2412290230,1430-0230,"THE FLW TEMPO TOS WI TEHRAN OIIX FIR AVBL FOR FLT FM BAKU UBBA FIR TO UNITED ARAB EMIRATES OMAE FIR: - ULDUS DCT NSH DVOR/DME L333 LABET Y8 SRJ VOR/DME L430 TAVNO M324 PATAT, - DULAV R661 SIBVU P146 RST DVOR/DME L333 LABET Y8 SRJ VOR/DME L430 TAVNO M324 PATAT. CREATED: 03 Nov 2024 15:07:00 SOURCE: OIIIYNYX",,,03 Nov 2024 15:07:00,
OIIX,A4368/24,OIIX/QARCS/IV/NBO/E/285/999/,2411031455,2412290230,1430-0230,NEW TEMPO BIDIRECTIONAL RNAV5 ATS ROUTE WITH DESIGNATOR Y14 ESTABLISHED WITH FLW SPECIFICATION: - FM IMLOT TO PARID MAG TRACK: 354/172 DIST: 373.7 NM LATERAL LIMITS: 16 NM MNM SAFE LEVEL: FL 285 MOCA: 14500 FT - FM PARID TO SOGOT MAG TRACK: 316/135 DIST: 91.5 NM LATERAL LIMITS: 16 NM MNM SAFE LEVEL: FL 285 MOCA: 9500 FT THIS AIRWAY DEFINED AS TACTICAL ATS ROUTE (CONDITIONAL ROUT,,,03 Nov 2024 14:57:00,
OIIX,A4541/24,OIIX/QRDCA/IV/BO/W/000/300/,2411160848,2501191930,0330-1930,"OID121 ACTIVATED, REF AIP PAGE ENR 5.1.3-12.",GND,30000,16 Nov 2024 08:51:00,
OIIX,A4367/24,OIIX/QARCS/IV/NBO/E/285/999/,2411031451,2412290230,1430-0230,NEW TEMPO BIDIRECTIONAL RNAV5 ATS ROUTE WITH DESIGNATOR Y13 ESTABLISHED WITH FLW SPECIFICATION: - FM DAR VOR/DME TO NOVSU MAG TRACK: 170/352 DIST: 313.96 NM LATERAL LIMITS: 16 NM MNM SAFE LEVEL: FL 285 MOCA: 16700 FT THIS AIRWAY DEFINED AS TACTICAL ATS ROUTE (CONDITIONAL ROUT,,,03 Nov 2024 14:54:00,
OIIX,A4366/24,OIIX/QARCS/IV/NBO/E/285/999/,2411031449,2412290230,1430-0230,NEW TEMPO BIDIRECTIONAL RNAV5 ATS ROUTE WITH DESIGNATOR Y12 ESTABLISHED WITH FLW SPECIFICATION: - FM BAM VOR/DME TO MESPO MAG TRACK: 161/343 DIST: 266.2 NM LATERAL LIMITS: 16 NM MNM SAFE LEVEL: FL 285 MOCA: 10500 FT THIS AIRWAY DEFINED AS TACTICAL ATS ROUTE (CONDITIONAL ROUT,,,03 Nov 2024 14:51:00,
OIIX,A4365/24,OIIX/QARCS/IV/NBO/E/285/999/,2411031449,2412290230,1430-0230,NEW TEMPORARY BIDIRECTIONAL RNAV5 ATS ROUTE WITH DESIGNATOR Y11 ESTABLISHED WITH FLW SPECIFICATION: - FM ROVAD TO IKA DVOR/DME MAG TRACK: 307/125 DIST: 175.0 NM LATERAL LIMITS: 16 NM MNM SAFE LEVEL: FL 285 MOCA: 9200 FT THIS AIRWAY DEFINED AS TACTICAL ATS ROUTE (CONDITIONAL ROUT,,,03 Nov 2024 14:49:00,
OIIX,A4364/24,OIIX/QARCS/IV/NBO/E/285/999/,2411031443,2412290230,1430-0230,NEW TEMPORARY BIDIRECTIONAL RNAV5 ATS ROUTE WITH DESIGNATOR Y10 ESTABLISHED WITH FLW SPECIFICATION: - FM DHN VOR/DME TO RERET MAG TRACK: 156/337 DIST: 107.7 NM LATERAL LIMITS: 16 NM MNM SAFE LEVEL: FL 285 MOCA: 10200 FT THIS AIRWAY DEFINED AS TACTICAL ATS ROUTE (CONDITIONAL ROUT,,,03 Nov 2024 14:45:00,
OIIX,A4363/24,OIIX/QARCS/IV/NBO/E/285/999/,2411031436,2412290230,1430-0230,NEW TEMPORARY BIDIRECTIONAL RNAV5 ATS ROUTE WITH DESIGNATOR Y8 ESTABLISHED WITH FLW SPECIFICATION: - FM LABET TO RAPKI MAG TRACK: 149/330 DIST: 38.7 NM LATERAL LIMITS: 16 NM MNM SAFE LEVEL: FL 285 MOCA: 14300 FT - FM RAPKI TO SRJ VOR/DME MAG TRACK: 157/340 DIST: 379.0 NM LATERAL LIMITS: 16 NM MNM SAFE LEVEL: FL 285 MOCA: 13300 FT THIS AIRWAY DEFINED AS TACTICAL ATS ROUTE (CONDITIONAL ROUT,,,03 Nov 2024 14:37:00,
OIIX,A4362/24,OIIX/QARCS/IV/NBO/E/285/999/,2411031431,2412290230,1430-0230,NEW TEMPORARY BIDIRECTIONAL RNAV5 ATS ROUTE WITH DESIGNATOR Y9 ESTABLISHED WITH FLW SPECIFICATION: - FM GETIS TO SOGOT MAG TRACK: 338/157 DIST: 156.3 NM LATERAL LIMITS: 16 NM MNM SAFE LEVEL: FL 285 MOCA: 12500 FT - FM SOGOT TO GIBAB MAG TRACK: 344/163 DIST: 176.0 NM LATERAL LIMITS: 16 NM MNM SAFE LEVEL: FL 285 MOCA: 9500 FT THIS AIRWAY DEFINED AS TACTICAL ATS ROUTE (CONDITIONAL ROUT,,,03 Nov 2024 14:33:00,
OIIX,A4360/24,OIIX/QARCS/IV/NBO/E/285/999/,2411031430,2412290230,1430-0230,NEW TEMPORARY BIDIRECTIONAL RNAV5 ATS ROUTE WITH DESIGNATOR Y7 ESTABLISHED WITH FLW SPECIFICATION: - FM BONAM TO NSH DVOR/DME MAG TRACK: 096/281 DIST: 352.5 NM LATERAL LIMITS: 16 NM MNM SAFE LEVEL: FL 285 MOCA: 14100 FT THIS AIRWAY DEFINED AS TACTICAL ATS ROUTE (CONDITIONAL ROUT,,,03 Nov 2024 14:29:00,
OIIX,A4359/24,OIIX/QARCS/IV/NBO/E/285/999/,2411031430,2412290230,1430-0230,NEW TEMPORARY UNIDIRECTIONAL WESTBOUND RNAV5 ATS ROUTE WITH DESIGNATOR Y6 ESTABLISHED WITH FLW SPECIFICATION: - FM DANEB TO DAMOS MAG TRACK: 287/107 DIST: 187.4 NM LATERAL LIMITS: 10 NM MNM SAFE LEVEL: FL 285 THIS AIRWAY DEFINED AS TACTICAL ATS ROUTE (CONDITIONAL ROUT,,,03 Nov 2024 14:26:00,
OIIX,A4358/24,OIIX/QARCS/IV/NBO/E/285/999/,2411031430,2412290230,1430-0230,NEW TEMPORARY UNIDIRECTIONAL WESTBOUND RNAV5 ATS ROUTE WITH DESIGNATOR Y4 ESTABLISHED WITH FLW SPECIFICATION: - FM ROVAD TO DHN VOR/DME MAG TRACK: 327/147 DIST: 118.6 NM LATERAL LIMITS: 10 NM MNM SAFE LEVEL: FL 285 - FM DHN VOR/DME TO DANEB MAG TRACK: 311/131 DIST: 90.8 NM LATERAL LIMITS: 10 NM MNM SAFE LEVEL: FL 285 - FM DANEB TO ZAJ VOR/DME MAG TRACK: 276/096 DIST: 149.9 NM LATERAL LIMITS: 10 NM MNM SAFE LEVEL: FL 285 THIS AIRWAY DEFINED AS TACTICAL ATS ROUTE (CONDITIONAL ROUT,,,03 Nov 2024 14:22:00,
OIIX,A4357/24,OIIX/QARCS/IV/NBO/E/285/999/,2411031430,2412290230,1430-0230,NEW TEMPORARY UNIDIRECTIONAL WESTBOUND RNAV5 ATS ROUTE WITH DESIGNATOR Y5 ESTABLISHED WITH FLW SPECIFICATION: - FM SOGOT TO RUBIL MAG TRACK: 321/141 DIST: 208.9 NM LATERAL LIMITS: 10 NM MNM SAFE LEVEL: FL 285 - FM RUBIL TO NSH DVOR/DME MAG TRACK: 308/128 DIST: 100.7 NM LATERAL LIMITS: 10 NM MNM SAFE LEVEL: FL 285 THIS AIRWAY DEFINED AS TACTICAL ATS ROUTE (CONDITIONAL ROUT,,,03 Nov 2024 14:20:00,
OIIX,A4355/24,OIIX/QARCS/IV/NBO/E/285/999/,2411031430,2412290230,1430-0230,NEW TEMPORARY UNIDIRECTIONAL EASTBOUND RNAV5 ATS ROUTE WITH DESIGNATOR Y3 ESTABLISHED WITH FLW SPECIFICATION: - FM RST DVOR/DME TO DAXIL MAG TRACK: 175/355 DIST: 148.0 NM LATERAL LIMITS: 10 NM MNM SAFE LEVEL: FL 285 NOTE: TRAFFIC ROUTING FM RST DVOR/DME TO DAXIL SHALL ASSIGN ODD FLIGHT LEVEL AND VICE VERSA - FM DAXIL TO DEKBA MAG TRACK: 133/313 DIST: 40.7 NM LATERAL LIMITS: 10 NM MNM SAFE LEVEL: FL 285 - FM DEKBA TO SYZ DVOR/DME MAG TRACK: 152/333 DIST: 313.8 NM LATERAL LIMITS: 10 NM MNM SAFE LEVEL: FL 285 THIS AIRWAY DEFINED AS TACTICAL ATS ROUTE (CONDITIONAL ROUT,,,03 Nov 2024 14:16:00,
OIIX,A4540/24,OIIX/QRDCA/IV/BO/W/000/130/,2411160838,2501191930,0330-1930,"OID84 ACTIVATED, REF AIP PAGE ENR 5.1.3-8.",GND,13000,16 Nov 2024 08:38:00,
OIIX,A4544/24,OIIX/QRDCA/IV/BO/W/000/180/,2411160906,2501192030,0230-2030,"OID123 ACTIVATED, REF AIP PAGE ENR 5.1.3-12.",GND,18000,16 Nov 2024 09:16:00,
OIIX,A4353/24,OIIX/QARCS/IV/NBO/E/285/999/,2411031430,2412290230,1430-0230,NEW TEMPORARY UNIDIRECTIONAL EASTBOUND RNAV5 ATS ROUTE WITH DESIGNATOR Y1 ESTABLISHED WITH FLW SPECIFICATION: - FM SIBVU TO ULEXI MAG TRACK: 096/277 DIST: 259.5 NM LATERAL LIMITS: 10 NM MNM SAFE LEVEL: FL 285 - FM ULEXI TO DAR VOR/DME MAG TRACK: 134/315 DIST: 459.4 NM LATERAL LIMITS: 10 NM MNM SAFE LEVEL: FL 285 THIS AIRWAY DEFINED AS TACTICAL ATS ROUTE (CONDITIONAL ROUT,,,03 Nov 2024 14:08:00,
OIIX,A5090/24,OIIX/QWMLW/IV/BO/W/000/150/2802N05013E005,2412280930,2412281130,,"GUN FIRING WILL TAKE PLACE WI A CIRCLE,RADIUS 8 KM CENTERED AT: 280153N 0501313E DRG ACT MNM SAFE LVL ON AWY B416 BTN KUVER AND IMDAT RAISED TO FL170.",GND,15000,24 Dec 2024 08:48:00,
OITK,A1415/22,OIIX/QOBCH/IV/M /AE/000/045/3822N04459E005,2205071307,PERM,,"REF AIP PAGE AD 2-3 OITK ITEM 2.10, SPECIFICATIONS OF OBSTACLE IN APPROACH RWY 33 AND TKOF RWY 15 CHANGED AS FLW: OBST TYPE ELEVATION MARKINGS/LGT COORDINATES ------------------------------------------------------------- POWER LINE 4411 FT AMSL NIL FIRST: 382231N 0445909E LAST: 382307N 0450112E AMEND AIP ACCORDINGLY. CREATED: 05 Aug 2024 07:43:00 SOURCE: EUECYIYN",,,05 Aug 2024 07:43:00,
OITP,B0898/24,OIIX/QLRXX/A/000/999/,2411261441,2502232359 EST,,"TWR REMOTE CONTROL LGT SYSTEM FOR RWY 11/29 U/S, AND LGT INTENSITY SETTING UNDER CONTROL MANUALLY BY TECHNICAL UNIT. CREATED: 26 Nov 2024 14:44:00 SOURCE: OIIIYNYX",,,26 Nov 2024 14:44:00,
OITP,B0897/24,OIIX/QLAAS/IV/NBO/A/000/999/,2411261442,2502232359 EST,,SALS RWY 29 NOT OPR DUE TO PWR. CREATED: 26 Nov 2024 14:43:00 SOURCE: OIIIYNYX,,,26 Nov 2024 14:43:00,
OITP,B0787/24,OIIX/QLYAS/IV/M/A/000/999/,2410101801,2501062359 EST,,TWY EDGE LGT U/S. CREATED: 10 Oct 2024 18:05:00 SOURCE: OIIIYNYX,,,10 Oct 2024 18:05:00,
OITR,A4863/24,OIIX/QFFCH/IV/NBO/A/000/999/,2412090330,PERM,,"REF AIP PAGE AD 2-2 OITR ITEM 2-6, AD CAT FOR RESCUE AND FIRE FIGHTING SER IS CAT 7, REMARKS: CAT 8: - AVBL DRG SKED FLT, - FOR NON-SKED FLT PPR FM UROMIYEH AD AT LEAST 72 HR BFR EOBT, AMEND AIP ACCORDINGLY. CREATED: 07 Dec 2024 14:00:00 SOURCE: OIIIYNYX",,,07 Dec 2024 14:00:00,
OITZ,A4648/24,OIIX/QMRXX/A/000/999/,2411241140,2502201530 EST,,"WIP AND CANAL EXCAVATION EXIST BEYOND THR RWY 30 ON BOTH SIDES OF EXTENDED RCL WITH FLW SPECIFICATION: -NR 1: ON LEFT SIDE OF RWY 30, LEN: 550 M, WID: 1 M, DEP: 1.5 M, HILL HGT: 4 FT, DIST FM THR RWY 30: 320 M UP TO 350 M, DIST FM EXTENDED RCL: ON EXTENDED RCL UP TO 550 M. -NR 2: ON RIGHT SIDE OF RWY 30, LEN: 200 M, WID: 1 M, DEP: 1.5 M, HILL HGT: 4 FT, DIST FM THR RWY 30: 320 M UP TO 460 M, DIST FM EXTENDED RCL: ON EXTENDED RCL UP TO 200 M. CREATED: 24 Nov 2024 11:42:00 SOURCE: OIIIYNYX",,,24 Nov 2024 11:42:00,
OITZ,A4647/24,OIIX/QMRXX/A/000/999/,2411241138,2502201530 EST,,"WIP AND CANAL EXCAVATION EXIST ON BOTH SIDE OF RWY 12 WITH FLW SPECIFICATION: -NR 1: ON LEFT SIDE OF RWY12, LEN: 330 M, WID: 1 M, DEP: 1.5 M, HILL HGT: 4 FT DIST FM THR RWY 12: 180 M UP TO 560 M DIST FM RCL:195 M UP TO 400 M -NR 2: ON LEFT SIDE OF RWY 12, LEN: 1200 M, WID: 1 M, DEP: 1.5 M, HILL HGT: 4 FT DIST FM THR RWY 12: 180 M UP TO 1160 M DIST FM RCL AND EXTENDED RCL: 195 M FM RCL UP TO 190 M FM EXTENDED RCL -NR 3: ON RIGHT SIDE OF RWY 12, LEN: 1150 M, WID: 1 M, DEP: 1.5 M HILL HGT: 4 FT, DIST FM THR RWY 12: 180 M UP TO 1150 M DIST FM EXTENDED RCL: 190 M. CREATED: 24 Nov 2024 11:42:00 SOURCE: OIIIYNYX",,,24 Nov 2024 11:42:00,
OITZ,A4104/24,OIIX/QCACS/IV/B/AE/000/999/,2410151821,PERM,,"REF AIP PAGE AD 2-5 OITZ ITEM 2.18, NEW ATS COM FAC INSTL AND OPR WITH FLW SPECIFICATIONS: - SER DESIGNATION: AFIS, - CALL SIGN: ZANJAN INFO, - FREQ: 121.500 MHZ, RMK: EMERG, - HR OF OPERATION: HS, AMEND AIP ACCORDINGLY. CREATED: 15 Oct 2024 18:22:00 SOURCE: OIIIYNYX",,,15 Oct 2024 18:22:00,
OIZC,B0974/24,OIIX/QNXXX/AE/000/999/,2412230848,2503232359 EST,,UDF FLTCK EXPIRED. CREATED: 23 Dec 2024 08:48:00 SOURCE: OIIIYNYX,,,23 Dec 2024 08:48:00,
OIZC,B0957/24,OIIX/QNNXX/E/000/999/,2412230840,2503232359 EST,,TACAN CBH CH 116X FLTCK EXPIRED. CREATED: 23 Dec 2024 08:39:00 SOURCE: OIIIYNYX,,,23 Dec 2024 08:39:00,
OIIX,A5105/24,OIIX/QWMLW/IV/BO/W/000/130/,2412260330,2412291430,0330-1430,ROCKET LAUNCHES WILL TAKE PLACE WI AREA WITH FLW COORDINATE: 343400N 0510500E 345700N 0532800E 355800N 0561800E 345700N 0573100E 330800N 0561000E 341300N 0505300E TO THE POINT OF ORIGIN. DUR ACT MNM SAFE LVL ON AWYS: - G208/L125 BTN RADAL AND ROVAD - M715 BTN OBRIX AND RERET - R659 BTN VAVIN AND SOLIR - W159 BTN ROVAD AND ALMUD - M318 BTN IMKUK AND DAPIN - B411 BTN GIBAB AND RABAM - A647 BTN ULANO AND MITUS - L720 BTN ITELO AND ULANO RAISED TO FL150.,GND,13000,25 Dec 2024 13:00:00,
OIIX,A5075/24,OIIX/QNVAS/IV/BO/AE/000/999/,2412240746,2503232359 EST,,"VOR ANK FREQ 112.700 MHZ U/S, AND SUBSEQUENTLY REQUIRED FLTCK. CREATED: 24 Dec 2024 07:46:00 SOURCE: OIIIYNYX",,,24 Dec 2024 07:46:00,
OIIX,A4545/24,OIIX/QRDCA/IV/BO/W/000/160/,2411160915,2501192030,0230-2030,"OID122 ACTIVATED, REF AIP PAGE ENR 5.1.3-12.",GND,16000,16 Nov 2024 09:18:00,
OIIX,A4977/24,OIIX/QKKKK/K/K/K/000/999/,2412160730,2412240730 EST,,CHECKLIST: YEAR 2022: 0253 1415 1416 1417 1418 1892 2367 YEAR 2023: 1718 1719 1720 1721 2113 2496 YEAR 2024: 1456 1517 1518 1519 1520 1521 1522 1554 1556 1557 1559 1824 1896 2133 2618 2619 2620 2621 2649 2936 2953 3045 3230 3255 3258 3313 3314 3316 3348 3349 3358 3362 3437 3438 3440 3441 3442 3443 3444 3445 3446 3447 3449 3451 3452 3460 3470 3533 3535 3667 3668 3669 3890 3988 3990 3991 3992 3994 4077 4078 4103 4104 4144 4145 4184 4185 4196 4209 4211 4227 4248 4249 4250 4251 4264 4266 4276 4301 4305 4306 4307 4308 4310 4311 4313 4316 4320 4330 4351 4352 4353 4354 4355 4357 4358 4359 4360 4362 4363 4364 4365 4366 4367 4368 4369 4370 4371 4372 4373 4374 4384 4393 4417 4425 4426 4458 4459 4460 4461 4462 4475 4487 4497 4500 4524 4525 4528 4529 4530 4533 4534 4535 4536 4537 4538 4539 4540 4541 4544 4545 4547 4548 4549 4553 4554 4564 4596 4597 4605 4614 4619 4647 4648 4649 4652 4660 4661 4663 4665 4666 4667 4668 4673 4674 4675 4677 4678 CREATED: 16 Dec 2024 08:02:00 SOURCE: OIIIYNYX,,,16 Dec 2024 08:02:00,
OIIX,A4919/24,OIIX/QOAXX/A/000/999/,2502200000,2503052359,,NIL NOTIFICATION: NO AIRAC AIP AMDT WILL BE PUBLISHED ON AIRAC EFFECTIVE DATE 20 FEB 2025 CREATED: 10 Dec 2024 08:01:00 SOURCE: OIIIYNYX,,,10 Dec 2024 08:01:00,
OIIX,A4918/24,OIIX/QOAXX/A/000/999/,2501230000,2502052359,,NIL NOTIFICATION: NO AIRAC AIP AMDT WILL BE PUBLISHED ON AIRAC EFFECTIVE DATE 23 JAN 2025 CREATED: 10 Dec 2024 07:58:00 SOURCE: OIIIYNYX,,,10 Dec 2024 07:58:00,
OIIX,A4665/24,OIIX/QAFXX/E/000/999/,2411261230,2412252359,,REF AIP SUP 8/24 TRAFFIC ORIENTATION SCHEME (TO,,,26 Nov 2024 12:32:00,
OIIX,A4652/24,OIIX/QFATT/IV/BO/A/000/999/,2412260000,2501082359,,"TRIGGER NOTAM-PERM AIRAC AIP AMDT 4/24 WEF 26 DEC 2024 WILL BE IN FORCE AND FLW INFO MENTIONED: THE AIP SUP 9/24 PUBLISHED AND SUPERSEDES AIP SUP 8/24 AND AIP SUP 10/24 PUBLISHED, SOME CHANGES IN PART GEN: 0.2, 0.3, 0.4, SOME CHANGES IN PART ENR: 2.1, 3.1, 3.3, 3.5, 4.1, 4.4, 5.1.3, 5.5, 6.1, SOME CHANGES IN PART AD: 1.2, 1.5, AND OIAA AND OIBP: ADC, OIBA: OBST, ALL IAC, OIAG: OPR HR, ATS COM FAC, OIHR: ADDN INFO, OITL: AD GEO AND ADMINISTRATIVE DATA, ATS AIRSPACE, ATS COM FAC, ALL SID AND STAR AND IAC, OIBH: RWY PHYSICAL CHARACTERISTICS, OIMB: ATS COM FAC, ADDN INFO, OIMN: AD GEO AND ADMINISTRATIVE DATA, OPR HR, MET INFO, ATS AIRSPACE, ADC, OIHH: ADDN INFO, ADC, OICI: RESCUE AND FIRE FIGHTING SER, OIIP: ALL IAC, OITM: OBST, MET INFO, ALL IAC, OIMM: DECLARED DISTANCES, OINN: OBST, OINZ: AD GEO AND ADMINISTRATIVE DATA, CREATED: 25 Nov 2024 06:42:00 SOURCE: OIIIYNYX",,,25 Nov 2024 06:42:00,
OIIX,A4614/24,OIIX/QRRCH/IV/BO/W/000/225/,2411201301,2502182030,,"REF AIP PAGE ENR 5.1.2-6, THE SPECIFICATIONS OF RESTRICTED AREA OIR71 KHOR TEMPO CHG AS FLW: IDENTIFICATION: OIR71, NAME: KHOR, LATERAL LIMITS: CIRCLE, 25 NM RADIUS CENTERED AT 325130N 0582630E EXCLUDING THE SEGMENT FM 331026N 0584557E CLOCKWISE TO 323928N 0585230E ARE JOINED BY DIRECT LINE, LOWER LIMIT: GND, UPPER LIMIT: FL225, TIME OF ACTIVITY: GND UP TO FL 125: H24, FM FL 125 UP TO FL 225: NOTIFIED BY OIMB ATC, REMARK: - COMPETENT AUTHORITY: IRIAF, - ALL FLIGHTS SHALL CONTACT KHOR AD FOR MILITARY IDENTIFICATION BEFORE ENTERING OIR71.",GND,FL225,20 Nov 2024 13:02:00,
